0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
340,17,12,124,65,31,33,73,62,15,118,29,29,52,30,82,13,141,17,17
90,112,17,54,210,69,46,47,91,10,132,17,82,43,54,78,23,96,9,20
174,27,33,93,96,42,35,108,46,13,112,49,47,87,43,153,29,91,7,15
188,27,22,167,76,50,24,65,74,17,190,15,44,35,34,62,6,175,16,13
85,52,13,51,326,48,17,43,91,7,170,13,55,40,49,104,17,79,13,27
123,77,5,71,144,157,55,75,57,16,115,27,61,48,53,78,27,71,21,19
164,57,14,48,99,91,113,107,55,16,105,61,79,44,32,79,22,79,20,15
178,25,25,59,45,43,22,204,45,22,84,106,45,85,38,159,17,83,8,7
91,41,13,71,203,46,18,41,145,15,227,10,49,34,41,93,16,114,13,19
204,30,22,76,87,44,28,121,58,35,114,44,75,71,44,119,31,75,13,9
95,38,13,64,200,40,14,41,100,7,302,12,34,44,34,83,9,135,12,23
178,28,25,50,56,41,29,155,31,27,85,113,60,92,32,180,30,70,9,9
121,64,17,48,173,40,45,58,67,19,98,39,198,39,58,107,7,81,5,16
151,44,27,46,82,46,26,121,45,28,108,78,50,122,43,162,22,76,9,14
101,73,21,46,207,91,22,62,66,11,135,31,51,48,75,115,24,78,27,16
82,16,16,32,91,26,18,81,33,13,69,78,63,59,48,512,15,45,0,3
160,33,16,59,111,54,32,117,60,21,106,63,43,82,38,151,45,81,13,15
146,28,15,93,128,34,12,50,98,12,233,12,32,34,27,78,10,226,12,20
180,46,13,82,129,84,30,71,94,10,137,19,52,42,55,90,23,88,35,20
147,34,18,99,155,52,18,45,88,10,194,8,48,47,30,90,16,151,23,27
