class_label,num_samples,accuracy
0,260,0.08461538461538462
1,260,0.07692307692307693
2,260,0.026923076923076925
3,260,0.11538461538461539
4,260,0.06923076923076923
5,260,0.08461538461538462
6,260,0.13076923076923078
7,260,0.23461538461538461
8,260,0.12307692307692308
9,260,0.04230769230769231
10,260,0.1
11,260,0.057692307692307696
12,260,0.21153846153846154
13,260,0.05
14,260,0.06923076923076923
15,260,0.2923076923076923
16,260,0.03461538461538462
17,260,0.09615384615384616
18,260,0.08076923076923077
19,260,0.08846153846153847
